DVD_Title|Studio|Released|Price|Rating|Year|Genre|DVD_ReleaseDate|ID
Club (1980)|Trinity Home Entertainment||9.99|PG|1980|Action/Adventure|2007-08-21 00:00:00|115939
Club (2004)|Vanguard||19.95|NR|2004|Drama|2004-11-30 00:00:00|49650
Club 4. Wir Entdecken Die Bibel: Begleit-DVD Zur Arbeitshilfe Fur Katechetinnen Und Katecheten. 4. Schuljahr (DVD-ROM)|Theologischer Verlag Zurich||22|NR|2012|Special Interest|2012-07-01 00:00:00|249284
Club America: El Vuelo De Aguilas|Xenon||9.98|NR|UNK|Sports|2003-07-08 00:00:00|30484
Club Classics: Universal Stories Of Dance #1: U.K.|Recognition Media||5.95|NR|UNK|Music|2002-09-17 00:00:00|14021
Club Claude: More Vegetables Please|HP Releasing||9.99|NR|UNK|Special Interest|2007-05-22 00:00:00|108751
Club Dance Moves|CypherStyles.com||21.95|NR|2010|Special Interest|2011-10-25 00:00:00|215075
Club Deluxe (DVD/CD Combo)|ZYX Music||7.98|NR|UNK|Music|2009-05-26 00:00:00|160733
Club Divas: 2 Hot 2 Dance Mix|Sony Norte||5.98|NR|UNK|Music|2010-10-25 00:00:00|188581
Club Divas: Hot Dance Mix|Sony Norte||5.98|NR|UNK|Music|2010-09-14 00:00:00|187956
Club Dread (R-Rated Version w/ Spanish & French Soundtracks)|Fox||6.98|R|2004|Comedy|2004-05-25 00:00:00|42814
Club Dread (R-Rated Version w/ Spanish & French Soundtracks) / Super Troopers (Special Edition) (Back-To-Back)|Fox||26.98|R|VAR|Comedy|2004-10-12 00:00:00|47888
Club Dread (R-Rated Version w/ Spanish & French Soundtracks) / Super Troopers (Special Edition) (Side-By-Side)|Fox||26.98|R|VAR|Comedy|2004-10-12 00:00:00|47914
Club Dread (R-Rated Version) / Super Troopers (2-Pack)|Fox||26.98|R|VAR|Comedy|2004-10-12 00:00:00|54356
Club Dread (R-Rated Version/ Old Version)|Fox||27.98|R|2004|Comedy|2004-05-25 00:00:00|41652
Club Dread (R-Rated Version/ Version Francaise)|Fox||27.98|R|2004|Comedy|2004-05-25 00:00:00|61301
Club Dread (Unrated Version)|Fox||6.98|UR|2004|Comedy|2004-09-28 00:00:00|48978
Club Dread (Unrated Version) / Super Troopers (2-Pack)|Fox||26.98|VAR|VAR|Comedy|2004-10-12 00:00:00|49418
Club Drugs: Dancing With Danger|Discovery Education||99.95|NR|UNK|Special Interest|2010-05-18 00:00:00|182549
Club Drugs: What You Should Know|Sunburst Visual Media||129.95|NR|UNK|Special Interest|2009-09-01 00:00:00|180468
Club Drugs: What You Should Know (DVD/VHS Combo)|Sunburst Visual Media||129.95|NR|UNK|Special Interest|2004-10-19 00:00:00|155817
Club Erotique|Peach DVD||19.99|UR|UNK|Late Night|2006-08-22 00:00:00|91144
Club Erotique 2|Peach DVD||19.99|UR|UNK|Late Night|2007-05-22 00:00:00|110113
Club Europe House Sessions Amnesia Ibiza (DVD/CD Combo)|Hi-Bias Records||17.99|NR|UNK|Music|2005-09-06 00:00:00|130821
Club Eutanasia (DistriMax)|DistriMax||9.96|PG-13|2005|Foreign|2008-10-07 00:00:00|145048
Club Eutanasia (Studio Latino)|Studio Latino||14.98|PG-13|2005|Foreign|2007-11-13 00:00:00|118547
Club Fed|Trinity Home Entertainment||7.99|PG-13|1990|Comedy|2006-02-14 00:00:00|77427
Club Files 8 (DVD/CD Combo)|Ministry Of Sound Germany||26.98|NR|2009|Music|2009-11-17 00:00:00|171539
Club Files, Vol. 1 (DVD/CD Combo)|Ministry Of Sound Germany||39.98|NR|UNK|Music|2007-08-21 00:00:00|115508
Club Files, Vol. 2 (DVD/CD Combo)|Ministry Of Sound Germany||39.98|NR|UNK|Music|2008-12-31 00:00:00|123127
Club Files, Vol. 3 (DVD/CD Combo)|Ministry Of Sound Germany||39.99|NR|UNK|Music|2008-09-09 00:00:00|143735
Club Files, Vol. 4 (DVD/CD Combo)|Ministry Of Sound Germany||26.98|NR|UNK|Music|2008-12-31 00:00:00|141180
Club Flashers|Wild Wild West Video||7.95|UR|2012|Late Night|2012-07-24 00:00:00|229858
Club Havana (On Demand DVD-R)|Mr. Fat-W Video||14.99|NR|1945|Drama|2012-05-08 00:00:00|276449
Club Inferno|Nectar Entertainment||19.99|UR|UNK|Late Night|2005-05-24 00:00:00|65818
Club Le Monde|Jinga Films||16.95|NR|2002|Comedy|2013-08-27 00:00:00|247979
Club Life (2015/ Rental Ready)|Paramount||29.99|NR|2015|Drama|2015-08-25 00:00:00|280666
Club Life (UNK): The Origianl Pilot Episode (On Demand DVD-R)|JaxDistribution||12.95|PG-13|UNK|Special Interest|2013-07-22 00:00:00|280684
Club Lingerie (On Demand DVD-R)|Apprehensive Films||21.98|NR|2014|Comedy|2015-03-23 00:00:00|278514
Club Med (Archive Collection/ On Demand DVD-R)|Warner Brothers Digital Dist.||19.99|NR|1986|Comedy|2013-10-15 00:00:00|263743
Club Med Party Dances|Turn Up The Music||12.99|NR|UNK|Music|2005-04-19 00:00:00|64246
Club Millennium|Music Video Distributors||15.95|NR|2015|Music|2015-07-07 00:00:00|279599
Club MTV Party To Go #1|Pioneer||24.98|NR|1991|Music|1998-02-10 00:00:00|1282
